20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;41;41
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
Idle time in macro cycle:36 is: B7 |;;;
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;41;41
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
Idle time in macro cycle:42 is: B7 /;;;
;;;
20;2F;41;41
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;41;41
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;41;41
;;;
Idle time in macro cycle:4E is: B6 -;;;
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;41;43
;;;
20;2F;41;41
;;;
20;2F;3F;40
;;;
20;2F;41;41
;;;
20;2F;40;40
;;;
20;2F;3F;40
;;;
20;2F;42;43
;;;
Idle time in macro cycle:5A is: B3 \;;;
;;;
21;2F;3F;40
;;;
20;2F;40;40
;;;
21;2F;41;41
;;;
20;2F;3F;40
;;;
21;2F;3F;40
;;;
20;2F;41;41
;;;
21;2F;41;42
;;;
20;2F;3F;40
;;;
21;2F;3F;40
;;;
20;2F;3F;40
;;;
21;2F;3F;40
;;;
20;2F;3F;40
;;;
Idle time in macro cycle:66 is: B5 |;;;
;;;
20;2F;3F;40
;;;
20;2F;41;41
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
20;2F;3F;40
;;;
